group_col,group,n,high_risk_rate,disparate_impact_ratio
Gender,Male,882,0.13038548752834467,0.9829059829059829
Gender,Female,588,0.1360544217687075,1.0256410256410258
AgeBand,45-54,245,0.05714285714285714,0.43076923076923074
AgeBand,35-44,505,0.06336633663366337,0.4776846915460777
AgeBand,55+,69,0.10144927536231885,0.7647714604236343
AgeBand,25-34,554,0.18411552346570398,1.3879477922799222
AgeBand,18-24,97,0.41237113402061853,3.108643933386201
Department,Research & Development,961,0.10822060353798127,0.8158168574401664
Department,Sales,446,0.17713004484304934,1.335288030355295
Department,Human Resources,63,0.19047619047619047,1.4358974358974357
